Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;ÖVP;FPÖ;SPÖ;GRÜNE;NEOS;MFG;KPÖ;BESTE;UBB;R
"LT21";"682";652;469;461;145;67;96;91;28;23;10;0;0;1
"LT21";"683";580;433;427;116;51;91;100;35;24;5;2;2;1
"LT21";"685";526;379;368;98;43;115;78;16;12;5;0;1;0
"LT21";"686";662;471;459;154;66;125;79;8;20;6;0;1;0
"LT21";"687";594;402;394;102;47;75;116;29;15;10;0;0;0
"LT21";"688";585;457;452;157;30;93;115;27;25;4;1;0;0
"LT21";"689";604;468;463;152;66;104;84;25;20;9;2;1;0
"LT21";"691";614;390;378;101;55;82;80;36;16;7;0;0;1
"LT21";"692";646;477;465;150;56;80;120;34;17;4;2;0;2
"LT21";"693";541;368;360;90;39;106;72;13;23;14;1;0;2
"LT21";"700";616;474;469;157;58;90;106;32;21;4;0;0;1
"LT21";"701";505;382;366;103;48;84;75;24;30;2;0;0;0
"LT21";"801";119;25;25;17;2;5;1;0;0;0;0;0;0
"LT21";"802";230;58;53;16;2;34;1;0;0;0;0;0;0
"LT21";"803";328;106;99;30;12;52;2;3;0;0;0;0;0
"LT21";"804";136;43;41;25;3;9;4;0;0;0;0;0;0
"LT21";"806";200;73;69;40;9;17;2;1;0;0;0;0;0
"LT21";"808";124;57;51;18;2;27;3;0;1;0;0;0;0
"LT21";"810";159;74;66;27;9;28;1;0;0;1;0;0;0
"LT21";"813";171;87;82;64;2;13;2;0;1;0;0;0;0
"LT21";"814";207;81;75;26;6;39;3;0;1;0;0;0;0
"LT21";"815";139;84;78;33;6;33;5;0;0;0;1;0;0
"LT21";"888";115;0;0;0;0;0;0;0;0;0;0;0;0
